AUDIT_ROW_ID,AUDIT_STATUS,SEVERITY,ISSUE_CODES,RECOMMENDED_ACTION,UID,CARD_ID,NORMALIZED_CARD_ID,NAME,SETS,SOURCE_ENTRY_ID,IMAGE_BASENAME,GALLERY_RARITY,COMPLETION_RARITY,GALLERY_HAS_STAR,COMPLETION_HAS_STAR,SOURCE_PREFIX_CARD_ID,SOURCE_PREFIX_SUFFIX,SOURCE_CARD_ID_MATCHES_GALLERY,SOURCE_HAS_VARIANT_MARKER,IMAGE_HAS_ALT_ART_MARKER,SHARES_IMAGE_WITH_NONSTAR_SIBLING,NONSTAR_SIBLING_UIDS,NOTES
star-alt-audit-019,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-119A_Piko-of-Thousand-Blades_L_L_die,AZK01-119,AZK01-119,"Cat, Steelborn",Booster,S1-AZK01-119A_Piko-of-Thousand-Blades_L_L_die,S1-AZK01-119A_Piko-of-Thousand-Blades_L_L_die.jpg,L ★,L ★,true,true,AZK01-119,A,true,true,true,false,,
star-alt-audit-020,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-121A_Kagoro-of-the-Burnt-Path_L_L_die,AZK01-121,AZK01-121,"Loneflame, Red Panda",Booster,S1-AZK01-121A_Kagoro-of-the-Burnt-Path_L_L_die,S1-AZK01-121A_Kagoro-of-the-Burnt-Path_L_L_die.jpg,L ★,L ★,true,true,AZK01-121,A,true,true,true,false,,
star-alt-audit-021,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-123A_Goro-Graveloth_L_L_die,AZK01-123,AZK01-123,"Obsidian, Sloth",Booster,S1-AZK01-123A_Goro-Graveloth_L_L_die,S1-AZK01-123A_Goro-Graveloth_L_L_die.jpg,L ★,L ★,true,true,AZK01-123,A,true,true,true,false,,
star-alt-audit-022,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-125A_Benzai-the-Sly_L_L_die,AZK01-125,AZK01-125,"Frog, Merchant, Watercrafting",Booster,S1-AZK01-125A_Benzai-the-Sly_L_L_die,S1-AZK01-125A_Benzai-the-Sly_L_L_die.jpg,L ★,L ★,true,true,AZK01-125,A,true,true,true,false,,
star-alt-audit-023,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-AZK01-129_Silk-Tongue-Velya_E_UC_die,AZK01-129,AZK01-129,"Black Jade, Pyreskin, Wildfire",Booster,S1-AZK01-129_Silk-Tongue-Velya_E_UC_die,S1-AZK01-129_Silk-Tongue-Velya_E_UC_die.jpg,UC,UC,false,false,AZK01-129,,true,false,true,false,,
star-alt-audit-024,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:AZP-001_IKZ!_IKZ-Token-AX-Participation_Die,AZP-001,AZP-001,IKZ Token,Promo,AZP-001_IKZ!_IKZ-Token-AX-Participation_Die,AZP-001_IKZ!_IKZ-Token-AX-Participation_Die.jpg,IKZ,,false,false,AZP-001,,true,false,true,false,,
star-alt-audit-025,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:AZP-002_IKZ!_IKZ-Token-AX-Winner_Die,AZP-002,AZP-002,IKZ Token,Promo,AZP-002_IKZ!_IKZ-Token-AX-Winner_Die,AZP-002_IKZ!_IKZ-Token-AX-Winner_Die.jpg,IKZ,,false,false,AZP-002,,true,true,true,false,,
star-alt-audit-026,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:AZP-003_IKZ_INV26-Participation_die,AZP-003,AZP-003,IKZ,Promo,AZP-003_IKZ_INV26-Participation_die,AZP-003_IKZ_INV26-Participation_die.jpg,IKZ ★,IKZ ★,true,true,AZP-003,,true,true,true,false,,
star-alt-audit-027,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:IKZ-001A_IKZ!_IKZ_Die,IKZ-001,IKZ-001,IKZ,Booster,IKZ-001A_IKZ!_IKZ_Die,IKZ-001A_IKZ!_IKZ_Die.jpg,IKZ ★,,true,false,IKZ-001,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-028,needs_review,high,source_entry_card_id_disagrees_with_gallery_card_id; completion_row_missing_gallery_star,Review gallery source row; image/source filename appears to identify a different card ID than the gallery card_id.,azuki_tcg_official_gallery:IKZ-002A_IKZ!_IKZ-Token_Die,IKZ-001,IKZ-001,IKZ Token,Booster,IKZ-002A_IKZ!_IKZ-Token_Die,IKZ-002A_IKZ!_IKZ-Token_Die.jpg,IKZ ★,,true,false,IKZ-002,A,false,true,true,false,,"Parsed source/image card ID does not match gallery card_id after zero-padding normalization. Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-029,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:S1-STT01-001AX1_Raizan_L_INV26-WINNER_die,STT01-001,STT01-001,Raizan,Promo,S1-STT01-001AX1_Raizan_L_INV26-WINNER_die,S1-STT01-001AX1_Raizan_L_INV26-WINNER_die.jpg,L ★,L,true,false,STT01-001,AX1,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-030,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:S1-STT01-001AX2_Raizan_L_INV26-SECOND_die,STT01-001,STT01-001,Raizan,Promo,S1-STT01-001AX2_Raizan_L_INV26-SECOND_die,S1-STT01-001AX2_Raizan_L_INV26-SECOND_die.jpg,L ★,L,true,false,STT01-001,AX2,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-031,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT01-001A_Raizan_L_AA_Die,STT01-001,STT01-001,Raizan,Booster,STT01-001A_Raizan_L_AA_Die,STT01-001A_Raizan_L_AA_Die.jpg,L ★,L,true,false,STT01-001,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-032,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT01-002A_Surge-Gate_G_die,STT01-002,STT01-002,Surge Gate,Booster,STT01-002A_Surge-Gate_G_die,STT01-002A_Surge-Gate_G_die.jpg,G ★,G,true,false,STT01-002,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-033,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT01-009_Mastersmith-Yamada_E_UC_die,STT01-009,STT01-009,Mastersmith Yamada,Starter Deck 1,S1-STT01-009_Mastersmith-Yamada_E_UC_die,S1-STT01-009_Mastersmith-Yamada_E_UC_die.jpg,UC,UC,false,false,STT01-009,,true,false,true,false,,
star-alt-audit-034,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT01-010_Indra_E_R_die,STT01-010,STT01-010,Indra,Starter Deck 1,S1-STT01-010_Indra_E_R_die,S1-STT01-010_Indra_E_R_die.jpg,R,R,false,false,STT01-010,,true,false,true,false,,
star-alt-audit-035,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT01-011A_Raizan_E_SR_die,STT01-011,STT01-011,Raizan,Booster,STT01-011A_Raizan_E_SR_die,STT01-011A_Raizan_E_SR_die.jpg,SR ★,SR,true,false,STT01-011,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-036,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT01-016A_Ikazuchi_W_SR_die,STT01-016,STT01-016,Ikazuchi,Booster,STT01-016A_Ikazuchi_W_SR_die,STT01-016A_Ikazuchi_W_SR_die.jpg,SR ★,SR,true,false,STT01-016,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-037,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:S1-STT02-001AX_Shao_L_INV26-TOP8_die,STT02-001,STT02-001,Shao,Promo,S1-STT02-001AX_Shao_L_INV26-TOP8_die,S1-STT02-001AX_Shao_L_INV26-TOP8_die.jpg,L ★,L,true,false,STT02-001,AX,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-038,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT02-001A_Shao_L_AA_Die,STT02-001,STT02-001,Shao,Booster,STT02-001A_Shao_L_AA_Die,STT02-001A_Shao_L_AA_Die.jpg,L ★,L,true,false,STT02-001,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-039,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT02-002A_Hydromancy-Gate_G_die,STT02-002,STT02-002,Hydromancy Gate,Booster,STT02-002A_Hydromancy-Gate_G_die,STT02-002A_Hydromancy-Gate_G_die.jpg,G ★,G,true,false,STT02-002,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-040,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT02-009_Aya_E_C_die,STT02-009,STT02-009,Aya,Starter Deck 2,S1-STT02-009_Aya_E_C_die,S1-STT02-009_Aya_E_C_die.jpg,C,C,false,false,STT02-009,,true,false,true,false,,
star-alt-audit-041,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT02-013ASN_Mizuki_E_SR_die,STT02-013,STT02-013,Mizuki,Booster,STT02-013ASN_Mizuki_E_SR_die,STT02-013ASN_Mizuki_E_SR_die.jpg,SR ★★,SR,true,false,STT02-013,ASN,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-042,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT02-013A_Mizuki_E_SR_die,STT02-013,STT02-013,Mizuki,Booster,STT02-013A_Mizuki_E_SR_die,STT02-013A_Mizuki_E_SR_die.jpg,SR ★,SR,true,false,STT02-013,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-043,needs_review,medium,completion_row_missing_gallery_star,Completion CSV should preserve row-specific gallery rarity for this variant instead of flattening to the Alpha sheet card-level rarity.,azuki_tcg_official_gallery:STT02-017A_Shaos-Perseverance_S_SR_die,STT02-017,STT02-017,Shao's Perseverance,Booster,STT02-017A_Shaos-Perseverance_S_SR_die,STT02-017A_Shaos-Perseverance_S_SR_die.jpg,SR ★,SR,true,false,STT02-017,A,true,true,true,false,,"Official gallery row has star rarity, but Alpha-field completion row does not."
star-alt-audit-044,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT03-001A_Bobu_L_L_die,STT03-01,STT03-001,Bobu,Booster,S1-STT03-001A_Bobu_L_L_die,S1-STT03-001A_Bobu_L_L_die.jpg,L ★,L ★,true,true,STT03-001,A,true,true,true,false,,
star-alt-audit-045,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT03-002A_Stonehaven-Gate_G_G_die,STT03-02,STT03-002,Stonehaven Gate,Booster,S1-STT03-002A_Stonehaven-Gate_G_G_die,S1-STT03-002A_Stonehaven-Gate_G_G_die.jpg,G ★,G ★,true,true,STT03-002,A,true,true,true,false,,
star-alt-audit-046,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT03-013A_Stone-Masked-Ancient_E_SR_die,STT03-13,STT03-013,Stone Masked Ancient,Booster,S1-STT03-013A_Stone-Masked-Ancient_E_SR_die,S1-STT03-013A_Stone-Masked-Ancient_E_SR_die.jpg,SR ★,SR ★,true,true,STT03-013,A,true,true,true,false,,
star-alt-audit-047,needs_review,high,star_row_reuses_nonstar_image_url,Review source image assignment; star row appears to reuse a non-star sibling image URL.,azuki_tcg_official_gallery:S1-STT04-001_Zero_L_L_die__2,STT04-01,STT04-001,Zero,Booster,S1-STT04-001_Zero_L_L_die__2,S1-STT04-001_Zero_L_L_die.jpg,L ★,L ★,true,true,STT04-001,,true,false,false,true,azuki_tcg_official_gallery:S1-STT04-001_Zero_L_L_die,Star row shares the exact image URL with a non-star sibling.
star-alt-audit-048,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT04-002A_Ragefire-Gate_G_G_die,STT04-02,STT04-002,Ragefire Gate,Booster,S1-STT04-002A_Ragefire-Gate_G_G_die,S1-STT04-002A_Ragefire-Gate_G_G_die.jpg,G ★,G ★,true,true,STT04-002,A,true,true,true,false,,
star-alt-audit-049,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT04-014A_Scorchveil-Shinobi-Suzuka_E_SR_die,STT04-14,STT04-014,"Scorchveil Shinobi, Suzuka",Booster,S1-STT04-014A_Scorchveil-Shinobi-Suzuka_E_SR_die,S1-STT04-014A_Scorchveil-Shinobi-Suzuka_E_SR_die.jpg,SR ★,SR ★,true,true,STT04-014,A,true,true,true,false,,
star-alt-audit-050,aligned_by_current_heuristics,none,,No action from this audit.,azuki_tcg_official_gallery:S1-STT04-014_Scorchveil-Shinobi-Suzuka_E_SR_die,STT04-14,STT04-014,"Scorchveil Shinobi, Suzuka",Starter Deck 4,S1-STT04-014_Scorchveil-Shinobi-Suzuka_E_SR_die,S1-STT04-014_Scorchveil-Shinobi-Suzuka_E_SR_die.jpg,SR,SR,false,false,STT04-014,,true,false,true,false,,
